id	str	item	pack	name
2049300	1	1	0204.img.xml	T5装备强化卷轴
2049301	1	1	0204.img.xml	T4装备强化卷轴
2049302	1	1	0204.img.xml	T3装备强化卷轴
2049303	1	1	0204.img.xml	T2装备强化卷轴
2049304	1	1	0204.img.xml	T1装备强化卷轴
2049305	1	1	0204.img.xml	T0装备强化卷轴
2049306	1	1	0204.img.xml	『神器』装备强化卷轴
2049307	1	1	0204.img.xml	『史诗』装备强化卷轴
2049308	1	1	0204.img.xml	5星装备强化卷轴
2049309	1	1	0204.img.xml	2星装备强化卷轴
2049400	1	1	0204.img.xml	高级潜能附加卷轴
2049401	1	1	0204.img.xml	潜能附加卷轴
2049402	1	1	0204.img.xml	特殊潜能附加卷轴
2049403	1	1	0204.img.xml	潜能卷轴2049403
2049404	1	1	0204.img.xml	[7周年]潜能力卷轴
2049405	1	1	0204.img.xml	真·觉醒冒险之心专用潜能力卷轴
2049406	1	1	0204.img.xml	特殊潜能附加卷轴
2049407	1	1	0204.img.xml	高级潜能附加卷轴
2049408	1	1	0204.img.xml	潜能附加卷轴
2049409	1	1	0204.img.xml	A级潜能卷轴
2049410	1	1	0204.img.xml	A级潜能卷轴
2049411	1	1	0204.img.xml	A级潜能卷轴
2049412	1	1	0204.img.xml	高级潜能附加卷轴
2049413	1	1	0204.img.xml	S级潜能卷轴
2049414	1	1	0204.img.xml	紫色手镯戒指专用潜能附加卷轴
2049415	1	1	0204.img.xml	戒指强化卷
2049416	1	1	0204.img.xml	潜能附加卷轴
2049417	1	1	0204.img.xml	特殊潜能附加卷轴
2049418	1	1	0204.img.xml	VIP特殊潜能卷轴
2049419	1	1	0204.img.xml	特殊潜能附加卷（限定）
2049420	1	1	0204.img.xml	老公老婆戒指专用潜能力卷轴
2049421	1	1	0204.img.xml	心之项链潜能附加卷轴
2049422	1	1	0204.img.xml	潜能卷轴2049422
2049423	1	1	0204.img.xml	潜能卷轴2049423
2049424	1	1	0204.img.xml	卡腾的胡子潜能附加卷轴
2049700	1	1	0204.img.xml	A级潜能卷轴
2049701	1	1	0204.img.xml	A级潜能卷轴
2049702	1	1	0204.img.xml	A级潜能附加卷轴
2049703	1	1	0204.img.xml	A级潜能附加卷轴
2049704	1	1	0204.img.xml	A级潜能附加卷轴 40%
2049705	1	1	0204.img.xml	A级潜能附加卷轴 50%
2049706	1	1	0204.img.xml	A级潜能卷轴
2049707	1	1	0204.img.xml	A级潜能卷轴
2049708	1	1	0204.img.xml	A级潜能卷轴
2049709	1	1	0204.img.xml	幻影A级潜能附加卷轴
2049710	1	1	0204.img.xml	潜能赋予卷轴50%
2049711	1	1	0204.img.xml	A级潜能卷轴
2049712	1	1	0204.img.xml	A级潜能卷轴
2049713	1	1	0204.img.xml	A级潜能卷轴
2049714	1	1	0204.img.xml	A级潜能卷轴
2049715	1	1	0204.img.xml	A级潜能附加卷轴 80%
2049716	1	1	0204.img.xml	A级潜能附加卷轴 100%
2049717	1	1	0204.img.xml	A级潜能附加卷轴 100%
2049718	1	1	0204.img.xml	A级潜能附加卷轴50%
2049719	1	1	0204.img.xml	A级潜能卷轴
2049720	1	1	0204.img.xml	A级潜能卷轴
2049721	1	1	0204.img.xml	A级潜能卷轴
2049722	1	1	0204.img.xml	A级潜能卷轴
2049723	1	1	0204.img.xml	A级潜能卷轴
2049724	1	1	0204.img.xml	A级潜能卷轴
2049725	1	1	0204.img.xml	A级潜能卷轴
2049726	1	1	0204.img.xml	A级潜能卷轴
2049727	1	1	0204.img.xml	A级潜能卷轴
2049728	1	1	0204.img.xml	A级潜能卷轴
2049729	1	1	0204.img.xml	A级潜能卷轴
2049730	1	1	0204.img.xml	附加A级潜能附加卷轴30%
2049731	1	1	0204.img.xml	A级潜能卷轴
2049732	1	1	0204.img.xml	A级潜能卷轴
2049733	1	1	0204.img.xml	A级潜能卷轴
2049734	1	1	0204.img.xml	A级潜能卷轴
2049735	1	1	0204.img.xml	A级潜能卷轴
2049736	1	1	0204.img.xml	A级潜能卷轴
2049737	1	1	0204.img.xml	A级潜能卷轴
2049738	1	1	0204.img.xml	A级潜能卷轴
2049739	1	1	0204.img.xml	A级潜能卷轴
2049740	1	1	0204.img.xml	A级潜能卷轴
2049741	1	1	0204.img.xml	S级潜能卷轴100%
2049742	1	1	0204.img.xml	A级潜能卷轴
2049743	1	1	0204.img.xml	A级潜能卷轴
2049744	1	1	0204.img.xml	A级潜能卷轴
2049745	1	1	0204.img.xml	A级潜能卷轴
2049746	1	1	0204.img.xml	A级潜能卷轴
2049747	1	1	0204.img.xml	A级潜能卷轴
2049748	1	1	0204.img.xml	A级潜能卷轴
2049749	1	1	0204.img.xml	A级潜能卷轴
2049750	1	1	0204.img.xml	S级潜能卷轴 80%
2049751	1	1	0204.img.xml	S级潜能卷轴 60%
2049752	1	1	0204.img.xml	S级潜能卷轴 30%
2049753	1	1	0204.img.xml	S级潜能卷轴
2049754	1	1	0204.img.xml	S级潜能卷轴
2049755	1	1	0204.img.xml	S级潜能卷轴
2049756	1	1	0204.img.xml	S级潜能附加卷轴
2049757	1	1	0204.img.xml	S级潜能附加卷轴
2049758	1	1	0204.img.xml	S级潜能附加卷轴
2049902	1	1	0204.img.xml	附加潜能附加卷轴
2049910	1	1	0204.img.xml	潜能魔方
2049911	1	1	0204.img.xml	附加潜能魔方
2049912	1	1	0204.img.xml	潜能品阶提升卷
2049913	1	1	0204.img.xml	星岩镶嵌卷
2049914	1	1	0204.img.xml	灵魂宝珠附加卷
2049915	1	1	0204.img.xml	灵魂宝珠清除卷
2049916	1	1	0204.img.xml	超级神奇魔方
2049917	1	1	0204.img.xml	终极神奇魔方
2049919	1	1	0204.img.xml	怪异魔方
2430112	1	1	0243.img.xml	神奇魔方碎片
2430481	1	1	0243.img.xml	高级神奇魔方碎片
2460000	1	1	0246.img.xml	潜能魔方[普通]
2460001	1	1	0246.img.xml	潜能魔方[高级]
2460002	1	1	0246.img.xml	潜能魔方[超级]
2460003	1	1	0246.img.xml	鉴定放大镜(特级)
2591000	1	1	0259.img.xml	灵魂宝珠(蝙蝠怪)
2591001	1	1	0259.img.xml	灵魂宝珠(暗黑龙王)
2591002	1	1	0259.img.xml	灵魂宝珠(莱格斯)
2591003	1	1	0259.img.xml	灵魂宝珠(品克缤)
2591004	1	1	0259.img.xml	灵魂宝珠(御龙魔)
2591005	1	1	0259.img.xml	灵魂宝珠(班·雷昂)
2591006	1	1	0259.img.xml	灵魂宝珠(扎昆)
2591007	1	1	0259.img.xml	灵魂宝珠(摇滚之魂)
2591008	1	1	0259.img.xml	灵魂宝珠(武公熊猫)
2591009	1	1	0259.img.xml	灵魂宝珠(阿尼)
2710000	1	1	0271.img.xml	怪异魔方
5062000	1	1	0506.img.xml	神奇魔方
5062001	1	1	0506.img.xml	高级神奇魔方
5062002	1	1	0506.img.xml	超级神奇魔方
5062003	1	1	0506.img.xml	终极神奇魔方
5062004	1	1	0506.img.xml	怪异魔方
5062100	1	1	0506.img.xml	珍贵的神奇魔方
5062102	1	1	0506.img.xml	[7周年]神奇魔方
5062500	1	1	0506.img.xml	大师附加神奇魔方
